,scores
13846,14.1879997253
13847,14.1879997253
13848,14.7290000916
13849,15.8389997482
13850,16.4720001221
13851,17.0020008087
13852,17.357000351
13853,17.357000351
13854,17.357000351
13855,16.7469997406
13856,16.7469997406
13857,16.7469997406
13858,16.454000473
13859,16.454000473
13860,16.454000473
13861,15.8100004196
13885,14.7130002975
13886,15.248000145
13887,16.5550003052
13888,16.6119995117
13889,16.6119995117
13890,16.6119995117
13891,16.454000473
13892,16.454000473
13893,16.454000473
13894,16.454000473
13895,14.2270002365
13896,13.9119997025
13921,14.1560001373
13922,14.1560001373
13923,15.5109996796
13924,15.5109996796
13925,15.5109996796
13957,13.8900003433
13958,13.8900003433
13959,13.8900003433
14428,14.876999855
14429,14.876999855
14430,14.876999855
14431,14.3030004501
14456,13.9300003052
14457,13.9300003052
14458,13.9300003052
14461,14.0229997635
14462,15.3199996948
14463,15.3199996948
14464,15.3199996948
14465,15.0290002823
14466,13.9219999313
14485,16.4190006256
14486,16.5799999237
14487,16.6949996948
14488,16.6949996948
14489,16.9939994812
14490,17.2950000763
14491,17.2950000763
14492,17.2950000763
14493,16.625
14494,16.1079998016
14495,17.1219997406
14496,17.2490005493
14497,17.2490005493
14498,17.2490005493
14499,17.2269992828
14500,16.2129993439
14518,16.0219993591
14519,17.1560001373
14520,21.5359992981
14521,21.5359992981
14522,21.5359992981
14523,18.2689990997
14524,19.3220005035
14525,19.3220005035
14526,19.3220005035
14527,18.1299991608
14528,18.1299991608
14529,17.8080005646
14530,18.2569999695
14531,18.2569999695
14532,18.2569999695
14533,18.0170001984
14534,17.1660003662
14552,16.0219993591
14553,17.1560001373
14554,21.5359992981
14555,21.5359992981
14556,21.5359992981
14557,20.295999527
14558,19.3220005035
14559,19.3220005035
14560,19.3220005035
14561,18.5690002441
14562,18.2569999695
14563,18.2569999695
14564,18.2569999695
14565,18.2569999695
14566,18.2569999695
14567,18.0209999084
14568,17.6359996796
14569,15.7170000076
14570,14.7609996796
14586,16.0219993591
14587,17.1560001373
14588,21.5359992981
14589,21.5359992981
14590,21.5359992981
14591,20.295999527
14592,19.9230003357
14593,19.9230003357
14594,19.3220005035
14595,19.0820007324
14601,18.0410003662
14602,18.1299991608
14603,18.1299991608
14604,18.1299991608
14605,17.3029994965
14606,16.2390003204
14607,14.7419996262
14608,14.7419996262
14609,14.7419996262
14620,15.1300001144
14621,15.3800001144
14622,16.406999588
14623,20.295999527
14624,20.295999527
14625,20.295999527
14626,19.9230003357
14627,19.9230003357
14628,19.2619991302
14629,19.0820007324
14638,18.1299991608
14639,17.3029994965
14640,16.9759998322
14641,16.2509994507
14642,15.8100004196
14643,15.8100004196
14654,15.031999588
14655,15.3800001144
14656,16.406999588
14657,17.5030002594
14658,18.8490009308
14659,19.9230003357
14660,19.9230003357
14661,19.9230003357
14662,19.0820007324
14663,19.0820007324
14672,18.1299991608
14673,17.3029994965
14674,16.9759998322
14675,16.454000473
14676,16.454000473
14677,15.8100004196
14689,14.3739995956
14690,15.1899995804
14691,15.1899995804
14692,16.5440006256
14693,18.8680000305
14694,18.8680000305
14695,18.8680000305
14696,18.3999996185
14697,18.3999996185
14706,17.8080005646
14707,17.186000824
14708,16.9759998322
14709,16.454000473
14710,16.454000473
14711,15.8100004196
14712,13.9119997025
14725,15.4219999313
14726,15.8529996872
14727,15.8529996872
14728,15.8529996872
14729,15.3350000381
14730,14.7440004349
14731,14.7440004349
14733,13.9289999008
14734,13.9289999008
14735,14.7130002975
14740,17.8080005646
14741,17.1459999084
14742,16.454000473
14743,16.454000473
14744,16.454000473
14745,14.5389995575
14746,13.9119997025
14759,15.4219999313
14760,15.4219999313
14761,15.4219999313
14762,15.2370004654
14763,15.2370004654
14770,27.8400001526
14775,15.5109996796
14776,15.361000061
14777,14.986000061
14793,15.4219999313
14794,15.4219999313
14795,15.4219999313
14796,15.0439996719
14809,15.361000061
14810,15.361000061
14811,14.986000061
14843,14.986000061
14844,14.986000061
14845,14.986000061
15144,14.767999649
15145,14.767999649
15146,14.767999649
15178,14.8380002975
15179,14.8380002975
15180,14.8380002975
15212,14.8380002975
