,scores
12384,15.2220001221
12385,15.2220001221
12386,15.7229995728
12387,15.9490003586
12388,16.1690006256
12389,16.2259998322
12390,16.2259998322
12391,16.2259998322
12392,16.438999176
12393,16.438999176
12394,16.438999176
12395,16.438999176
12396,16.438999176
12397,15.9739999771
12398,15.4180002213
12407,15.5850000381
12408,19.1040000916
12409,19.4279994965
12410,19.4279994965
12411,19.4279994965
12412,18.2660007477
12413,18.0529994965
12414,18.0529994965
12415,16.4130001068
12426,15.2220001221
12427,15.2220001221
12428,15.7229995728
12429,15.9490003586
12430,16.1319999695
12431,16.1690006256
12432,16.1690006256
12433,16.1690006256
12434,16.2259998322
12435,16.2259998322
12436,16.2509994507
12437,16.2509994507
12438,16.2509994507
12439,15.7779998779
12450,16.4960002899
12451,18.4519996643
12452,18.4519996643
12453,18.4519996643
12454,17.0310001373
12455,16.783000946
12456,15.9659996033
12469,15.2150001526
12470,15.7229995728
12471,15.7229995728
12472,16.1319999695
12473,16.1690006256
12474,16.1690006256
12475,16.1690006256
12476,16.1690006256
12477,16.2259998322
12478,16.2259998322
12479,16.2259998322
12480,15.7229995728
12493,14.4969997406
12494,14.4969997406
12495,14.4969997406
12512,15.7229995728
12513,15.7229995728
12514,16.1319999695
12515,16.1319999695
12516,16.1319999695
12517,16.1690006256
12518,16.1690006256
12519,16.2259998322
12520,16.2259998322
12521,16.2259998322
12522,15.7229995728
12523,14.373000145
12556,15.2629995346
12557,15.7229995728
12558,15.9490003586
12559,15.9490003586
12560,15.9490003586
12561,15.5659999847
12562,15.640999794
12563,15.640999794
12564,15.640999794
12565,14.373000145
12597,14.3020000458
12598,14.3020000458
12599,14.4549999237
12600,15.767999649
12601,15.767999649
12602,15.767999649
12603,15.2889995575
12604,15.5590000153
12605,15.5590000153
12606,15.5590000153
12607,14.373000145
12645,14.9720001221
12646,15.5590000153
12647,15.5590000153
12648,15.5590000153
13024,16.1219997406
13025,16.1219997406
13026,16.1219997406
13027,14.9809999466
13063,15.482000351
13064,15.4849996567
13065,16.2509994507
13066,16.5079994202
13067,16.5079994202
13068,16.5079994202
13069,15.4160003662
13101,14.5480003357
13102,15.3649997711
13103,15.6809997559
13104,15.6809997559
13105,16.1219997406
13106,16.3479995728
13107,16.3479995728
13108,16.5079994202
13109,16.5079994202
13110,16.5079994202
13111,15.9169998169
13112,15.2609996796
13122,14.3000001907
13123,14.3000001907
13124,14.3000001907
13142,14.8669996262
13143,16.438999176
13144,16.438999176
13145,16.4489994049
13146,16.4489994049
13147,16.4489994049
13148,16.5079994202
13149,16.5079994202
13150,16.5079994202
13151,16.5079994202
13152,16.5079994202
13153,16.0869998932
13154,16.0869998932
13155,14.6739997864
13163,14.8030004501
13164,16.2210006714
13165,16.2210006714
13166,16.2210006714
13167,15.3800001144
13169,14.5850000381
13170,14.5850000381
13171,14.5850000381
13182,15.2220001221
13183,15.2220001221
13184,15.5369997025
13185,16.438999176
13186,16.438999176
13187,16.4489994049
13188,16.4489994049
13189,16.4489994049
13190,16.5079994202
13191,16.5079994202
13192,16.5079994202
13193,16.5009994507
13194,16.5009994507
13195,16.1319999695
13196,16.0869998932
13197,14.7139997482
13204,17.4710006714
13205,18.7520008087
13206,18.7520008087
13207,18.7520008087
13208,18.2490005493
13209,18.2490005493
13210,17.1380004883
13211,18.5230007172
13212,18.5230007172
13213,18.5230007172
13214,16.6879997253
13224,15.2220001221
13225,15.2220001221
13226,15.7229995728
13227,16.438999176
13228,16.438999176
13229,16.4489994049
13230,16.4489994049
13231,16.4489994049
13232,16.5079994202
13233,16.5079994202
13234,16.5079994202
13235,16.438999176
13236,16.438999176
13237,16.1319999695
13238,16.0869998932
13239,14.7139997482
13246,17.4710006714
13247,18.7520008087
13248,19.1040000916
13249,19.4279994965
13250,19.4279994965
13251,19.4279994965
13252,18.8040008545
13253,18.8040008545
13254,18.5230007172
13255,18.5230007172
13256,16.6879997253
13266,15.2220001221
13267,15.2220001221
13268,15.7229995728
13269,16.3740005493
13270,16.3740005493
13271,16.3740005493
13272,16.2259998322
13273,16.2259998322
13274,16.438999176
13275,16.438999176
13276,16.438999176
13277,16.438999176
13278,16.438999176
13279,16.3479995728
13280,15.611000061
13281,14.7139997482
13288,17.4710006714
13289,18.7520008087
13290,19.1040000916
13291,19.4279994965
13292,19.4279994965
13293,19.4279994965
13294,18.8040008545
13295,18.8040008545
13296,18.5230007172
13297,18.5230007172
13298,16.6879997253
13308,14.4180002213
13309,14.906999588
13310,15.7229995728
13311,15.9490003586
13312,16.1690006256
13313,16.2259998322
13314,16.2259998322
13315,16.2259998322
13316,16.438999176
13317,16.438999176
13318,16.438999176
13319,16.438999176
13320,16.438999176
13321,16.3479995728
13322,15.4180002213
13323,14.6949996948
13331,17.3379993439
13332,19.1040000916
13333,19.4279994965
13334,19.4279994965
13335,19.4279994965
13336,18.8040008545
13337,18.8040008545
13338,18.3220005035
13339,18.3220005035
13350,14.4180002213
13351,14.4180002213
13352,15.5369997025
13353,15.9490003586
13354,16.1319999695
13355,16.1690006256
13356,16.1690006256
13357,16.1690006256
13358,16.2259998322
13359,16.2259998322
13360,16.2509994507
13361,16.3479995728
13362,16.3479995728
13363,16.3479995728
13364,14.454000473
13373,14.361000061
13374,16.4960002899
13375,18.4519996643
13376,18.4519996643
13377,18.4519996643
13378,17.0310001373
13379,16.783000946
13380,15.9659996033
13394,15.5369997025
13395,15.5369997025
13396,16.1319999695
13397,16.1690006256
13398,16.1690006256
13399,16.1690006256
13400,16.1690006256
13401,16.1690006256
13402,15.8280000687
13403,15.7779998779
13404,15.7229995728
13417,14.4969997406
13418,14.4969997406
13419,14.4969997406
13438,16.1319999695
13439,16.1319999695
13440,16.1319999695
13441,16.1690006256
13442,16.1690006256
13443,16.1690006256
13444,15.7779998779
13445,15.7779998779
13446,15.7229995728
13480,15.2629995346
13481,15.2629995346
13482,15.2629995346
13483,15.4829998016
13484,15.4829998016
13485,15.4829998016
13486,14.9230003357
13487,14.9230003357
13488,14.9230003357
13521,14.3020000458
13522,14.3020000458
13523,14.3020000458
13527,14.718000412
13528,14.9230003357
13529,14.9230003357
13530,14.9230003357
13906,16.1170005798
13907,16.1170005798
13908,16.1170005798
13945,14.5469999313
13946,14.8199996948
13947,15.781999588
13948,16.1219997406
13949,16.1289997101
13950,16.1289997101
13951,16.1289997101
13986,14.8529996872
13987,16.438999176
13988,16.438999176
13989,16.438999176
13990,16.5079994202
13991,16.5079994202
13992,16.5079994202
13993,16.1289997101
13994,14.7270002365
14001,15.0590000153
14002,15.0590000153
14003,15.0590000153
14025,14.5480003357
14026,15.3649997711
14027,15.6809997559
14028,15.6809997559
14029,16.4489994049
14030,16.4489994049
14031,16.4489994049
14032,16.5079994202
14033,16.5079994202
14034,16.5079994202
14035,16.3740005493
14036,16.0090007782
14043,15.0590000153
14044,15.0590000153
14045,15.0590000153
